游戏名字,游戏类型,游戏图片,游戏地址
"('Contra(USA)',)","('魂斗罗 魂斗罗 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/sj/436a.png,"('https://www.yikm.net/play?id=4137&n=L2Zjcm9tL3NqL0NvbnRyYSAoVSkgWyFdLm5lcw==&t=Contra(USA)',)"
"('激龟快打(忍者神龟格斗)欧版',)","('正品格斗 正品格斗 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/gd/2254a.png,"('https://www.yikm.net/play?id=3882&n=L2Zjcm9tL2dkL1RlZW5hZ2UgTXV0YW50IEhlcm8gVHVydGxlcyAtIFRvdXJuYW1lbnQgRmlnaHRlcnMgKEUpIFshXS5uZXM=&t=激龟快打(忍者神龟格斗)欧版',)"
"('Contra(USA)',)","('魂斗罗 魂斗罗 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/sj/910a.png,"('https://www.yikm.net/play?id=4138&n=L2Zjcm9tL3NqL0NvbnRyYSAoKzQgbWVudSkubmVz&t=Contra(USA)',)"
"('激龟快打(忍者神龟格斗)美版',)","('正品格斗 正品格斗 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/gd/2259a.png,"('https://www.yikm.net/play?id=3883&n=L2Zjcm9tL2dkL1RlZW5hZ2UgTXV0YW50IE5pbmphIFR1cnRsZXMgLSBUb3VybmFtZW50IEZpZ2h0ZXJzIChVKSBbIV0ubmVz&t=激龟快打(忍者神龟格斗)美版',)"
"('魂斗罗力量',)","('魂斗罗 魂斗罗 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/sj/437a.png,"('https://www.yikm.net/play?id=4141&n=L2Zjcm9tL3NqL0NvbnRyYSBGb3JjZSAoVSkgWyFdLm5lcw==&t=魂斗罗力量',)"
"('热血新纪录(日版)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/255a.png,"('https://www.yikm.net/play?id=4710&n=L2Zjcm9tL3lkYnMvQmlra3VyaSBOZWtrZXRzdSBTaGluIEtpcm9rdSEgLSBIYXJ1a2FuYXJ1IEtpbiBNZWRhbCAoSikgWyFdLm5lcw==&t=热血新纪录(日版)',)"
"('冒险岛(日版)',)","('冒险岛 冒险岛 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1001a.png,"('https://www.yikm.net/play?id=3175&n=L2Zjcm9tL2R6bXgvVGFrYWhhc2hpIE1laWppbiBubyBCb3VrZW4gU2hpbWEgKEopIFshXS5uZXM=&t=冒险岛(日版)',)"
"('热血新纪录(美版)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/4711a.png,"('https://www.yikm.net/play?id=4711&n=L2Zjcm9tL3lkYnMvQ3Jhc2ggJ24gdGhlIEJveXMgLSBTdHJlZXQgQ2hhbGxlbmdlIChVKSBbIV0ubmVz&t=热血新纪录(美版)',)"
"('冒险岛(美版)',)","('冒险岛 冒险岛 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1001a.png,"('https://www.yikm.net/play?id=3176&n=L2Zjcm9tL2R6bXgvSHVkc29uJ3MgQWR2ZW50dXJlIElzbGFuZCAoVSkgWyFdLm5lcw==&t=冒险岛(美版)',)"
"('热血时代剧',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/4712.png,"('https://www.yikm.net/play?id=4712&n=L2Zjcm9tL3lkYnMvRG93bnRvd24gU3BlY2lhbCAtIEt1bmlvLWt1biBubyBKaWRhaWdla2kgRGF5byBaZW5pbiBTaHV1Z291ISAoSikgWyFdLm5lcw==&t=热血时代剧',)"
"('冒险岛2(日版)',)","('冒险岛 冒险岛 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/3177.png,"('https://www.yikm.net/play?id=3177&n=L2Zjcm9tL2R6bXgvVGFrYWhhc2hpIE1laWppbiBubyBCb3VrZW4gU2hpbWEgSUkgKEopIFshXS5uZXM=&t=冒险岛2(日版)',)"
"('Ike Ike! Nekketsu Hockey Bu - Subette Koronde Dairantou',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/4713.png,"('https://www.yikm.net/play?id=4713&n=L2Zjcm9tL3lkYnMvSWtlIElrZSEgTmVra2V0c3UgSG9ja2V5LWJ1IC0gU3ViZXR0ZSBLb3JvbmRlIERhaSBSYW50b3UgKEopIFshXS5uZXM=&t=Ike Ike! Nekketsu Hockey Bu - Subette Koronde Dairantou',)"
"('冒险岛2(美版)',)","('冒险岛 冒险岛 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/2581a.png,"('https://www.yikm.net/play?id=3178&n=L2Zjcm9tL2R6bXgvSHVkc29uJ3MgQWR2ZW50dXJlIElzbGFuZCBJSSAoVSkgWyFdLm5lcw==&t=冒险岛2(美版)',)"
"('Riki Kunio',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/1544a.png,"('https://www.yikm.net/play?id=4714&n=L2Zjcm9tL3lkYnMvTmVra2V0c3UgS2FrdXRvdSBEZW5zZXRzdSAoSikgWyFdLm5lcw==&t=Riki Kunio',)"
"('冒险岛3(日版)',)","('冒险岛 冒险岛 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/3179.png,"('https://www.yikm.net/play?id=3179&n=L2Zjcm9tL2R6bXgvVGFrYWhhc2hpIE1laWppbiBubyBCb3VrZW4gU2hpbWEgSUlJIChKKSBbIV0ubmVz&t=冒险岛3(日版)',)"
"('River City Brawl(Japan)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/577a.png,"('https://www.yikm.net/play?id=4715&n=L2Zjcm9tL3lkYnMvRG93bnRvd24gLSBOZWtrZXRzdSBNb25vZ2F0YXJpIChKKS5uZXM=&t=River City Brawl(Japan)',)"
"('冒险岛3(美版)',)","('冒险岛 冒险岛 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=3180&n=L2Zjcm9tL2R6bXgvSHVkc29uJ3MgQWR2ZW50dXJlIElzbGFuZCBJSUkgKFUpIFshXS5uZXM=&t=冒险岛3(美版)',)"
"('River City Brawl(Europe)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/2114a.png,"('https://www.yikm.net/play?id=4716&n=L2Zjcm9tL3lkYnMvU3RyZWV0IEdhbmdzIChFKSBbIV0ubmVz&t=River City Brawl(Europe)',)"
"('冒险岛4',)","('冒险岛 冒险岛 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/3181.png,"('https://www.yikm.net/play?id=3181&n=L2Zjcm9tL2R6bXgvVGFrYWhhc2hpIE1laWppbiBubyBCb3VrZW4gU2hpbWEgSVYgKEopLm5lcw==&t=冒险岛4',)"
"('River City Brawl(USA)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/1810a.png,"('https://www.yikm.net/play?id=4717&n=L2Zjcm9tL3lkYnMvUml2ZXIgQ2l0eSBSYW5zb20gKFUpIFshXS5uZXM=&t=River City Brawl(USA)',)"
"('RXHPUS(Japan)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=4718&n=L2Zjcm9tL3lkYnMvTmVra2V0c3UgS291aGEgLSBLdW5pby1rdW4gKEopIFshXS5uZXM=&t=RXHPUS(Japan)',)"
"('RXHPUS(USA)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/2230a.png,"('https://www.yikm.net/play?id=4719&n=L2Zjcm9tL3lkYnMvUmVuZWdhZGUgKFUpIFshXS5uZXM=&t=RXHPUS(USA)',)"
"('Nekketsu! Street Basket - Ganbare Dunk Heroes',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/1548a.png,"('https://www.yikm.net/play?id=4720&n=L2Zjcm9tL3lkYnMvTmVra2V0c3UhIFN0cmVldCBCYXNrZXQgLSBHYW5iYXJlIER1bmsgSGVyb2VzIChKKS5uZXM=&t=Nekketsu! Street Basket - Ganbare Dunk Heroes',)"
"('热血足球(日版)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=4721&n=L2Zjcm9tL3lkYnMvTmVra2V0c3UgS291a291IERvZGdlYmFsbCBCdSAtIFNvY2NlciBIZW4gKEopIFshXS5uZXM=&t=热血足球(日版)',)"
"('热血足球(欧版)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=4722&n=L2Zjcm9tL3lkYnMvTmludGVuZG8gV29ybGQgQ3VwIChFKSAoUFJHMCkgWyFdLm5lcw==&t=热血足球(欧版)',)"
"('热血足球(美版)',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/1587a.png,"('https://www.yikm.net/play?id=4723&n=L2Zjcm9tL3lkYnMvTmludGVuZG8gV29ybGQgQ3VwIChVKSBbIV0ubmVz&t=热血足球(美版)',)"
"('热血足球联盟',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/ydbs/1223a.png,"('https://www.yikm.net/play?id=4724&n=L2Zjcm9tL3lkYnMvS3VuaW8ta3VuIG5vIE5la2tldHN1IFNvY2NlciBMZWFndWUgKEopIFshXS5uZXM=&t=热血足球联盟',)"
"('Downtown - Nekketsu Koushin Kyoku - Soreyuke Daiundoukai',)","('热血系列 热血系列 ',)",https://mrcuya.gitee.io/yikmresource/fcpic/1000a.png,"('https://www.yikm.net/play?id=4725&n=L2Zjcm9tL3lkYnMvRG93bnRvd24gLSBOZWtrZXRzdSBLb3VzaGluIEt5b2t1IC0gU29yZXl1a2UgRGFpdW5kb3VrYWkgKEopIFshXS5uZXM=&t=Downtown - Nekketsu Koushin Kyoku - Soreyuke Daiundoukai',)"
